Date	Start	n0	BoxScore	n1	Opponent	Result	n2	TeamScore	OppScore	W	L	Streak	Notes
Wed, Oct 17, 2018	7:00p		Box Score	@	Orlando Magic	L		101	104	0	1	L 1	
Thu, Oct 18, 2018	8:00p		Box Score	@	Washington Wizards	W		113	112	1	1	W 1	
Sat, Oct 20, 2018	8:00p		Box Score		Charlotte Hornets	L		112	113	1	2	L 1	
Wed, Oct 24, 2018	7:30p		Box Score		New York Knicks	W		110	87	2	2	W 1	
Sat, Oct 27, 2018	8:00p		Box Score		Portland Trail Blazers	W		120	111	3	2	W 2	
Mon, Oct 29, 2018	7:30p		Box Score		Sacramento Kings	L		113	123	3	3	L 1	
Tue, Oct 30, 2018	7:00p		Box Score	@	Charlotte Hornets	L		113	125	3	4	L 2	
Sat, Nov 3, 2018	7:30p		Box Score	@	Atlanta Hawks	L		118	123	3	5	L 3	
Mon, Nov 5, 2018	7:00p		Box Score	@	Detroit Pistons	W	OT	120	115	4	5	W 1	
Wed, Nov 7, 2018	7:30p		Box Score		San Antonio Spurs	W		95	88	5	5	W 2	
Fri, Nov 9, 2018	8:00p		Box Score		Indiana Pacers	L		102	110	5	6	L 1	
Sat, Nov 10, 2018	8:00p		Box Score		Washington Wizards	L		110	116	5	7	L 2	
Mon, Nov 12, 2018	7:30p		Box Score		Philadelphia 76ers	L		114	124	5	8	L 3	
Wed, Nov 14, 2018	7:30p		Box Score	@	Brooklyn Nets	W		120	107	6	8	W 1	
Fri, Nov 16, 2018	7:00p		Box Score	@	Indiana Pacers	L		91	99	6	9	L 1	
Sun, Nov 18, 2018	6:00p		Box Score		Los Angeles Lakers	L		97	113	6	10	L 2	
Tue, Nov 20, 2018	7:30p		Box Score		Brooklyn Nets	L		92	104	6	11	L 3	
Fri, Nov 23, 2018	8:00p		Box Score	@	Chicago Bulls	W		103	96	7	11	W 1	
Sun, Nov 25, 2018	6:00p		Box Score	@	Toronto Raptors	L		115	125	7	12	L 1	
Tue, Nov 27, 2018	7:30p		Box Score		Atlanta Hawks	L		113	115	7	13	L 2	
													
Fri, Nov 30, 2018	8:00p		Box Score		New Orleans Pelicans	W		106	101	8	13	W 1	
Sun, Dec 2, 2018	6:00p		Box Score		Utah Jazz	W		102	100	9	13	W 2	
Tue, Dec 4, 2018	7:30p		Box Score		Orlando Magic	L		90	105	9	14	L 1	
Fri, Dec 7, 2018	9:00p		Box Score	@	Phoenix Suns	W		115	98	10	14	W 1	
Sat, Dec 8, 2018	10:30p		Box Score	@	Los Angeles Clippers	W		121	98	11	14	W 2	
Mon, Dec 10, 2018	10:30p		Box Score	@	Los Angeles Lakers	L		105	108	11	15	L 1	
Wed, Dec 12, 2018	9:00p		Box Score	@	Utah Jazz	L		84	111	11	16	L 2	
Fri, Dec 14, 2018	8:00p		Box Score	@	Memphis Grizzlies	W		100	97	12	16	W 1	
Sun, Dec 16, 2018	7:00p		Box Score	@	New Orleans Pelicans	W		102	96	13	16	W 2	
Thu, Dec 20, 2018	8:00p		Box Score		Houston Rockets	W		101	99	14	16	W 3	
Sat, Dec 22, 2018	8:00p		Box Score		Milwaukee Bucks	W		94	87	15	16	W 4	
Sun, Dec 23, 2018	6:00p		Box Score	@	Orlando Magic	W		115	91	16	16	W 5	
Wed, Dec 26, 2018	7:30p		Box Score		Toronto Raptors	L		104	106	16	17	L 1	
Fri, Dec 28, 2018	8:00p		Box Score		Cleveland Cavaliers	W		118	94	17	17	W 1	
Sun, Dec 30, 2018	6:00p		Box Score		Minnesota Timberwolves	L		104	113	17	18	L 1	
Wed, Jan 2, 2019	7:00p		Box Score	@	Cleveland Cavaliers	W		117	92	18	18	W 1	
Fri, Jan 4, 2019	8:00p		Box Score		Washington Wizards	W		115	109	19	18	W 2	
Sun, Jan 6, 2019	6:00p		Box Score	@	Atlanta Hawks	L		82	106	19	19	L 1	
